,context,condition,study,human.response,feature1,feature2,feature3,feature1b,feature1c,scenario,statement,first_response,second_response,gpt_feature2,gpt_feature3
10,erasemural,million,blue.house,0.145161290322581,1.0,10011854463.4,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000,000 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",1000000,1000000.0
11,erasemural,tenthousand,blue.house,0.084745762711864,1.0,10011854463.4,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $10,000 to reverse this damage.","
Hank will get $10,000 from the stranger.",10000,10000.0
12,blueoutsidedoor,tenthousand,blue.house,0.186440677966102,1.0,1611.0,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $10,000 from the stranger.",100,10000.0
13,erasemural,thousand,blue.house,0.095238095238095,1.0,10011854463.4,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
14,razehouse,hundred,blue.house,0.033333333333333,1.0,3958400.8,100.0,,,Imagine that a stranger will give Hank one hundred dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100,000 to reverse this damage.","
Hank will get $100 from the stranger.",100000,100.0
15,razehouse,hunthousand,blue.house,0.016393442622951,1.0,3958400.8,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100,000 to reverse the damage.","
Hank will get $100,000 from the stranger.",100000,100000.0
16,razehouse,million,blue.house,0.032258064516129,1.0,3958400.8,1000000.0,,,Imagine that a stranger will give Hank one million dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000,000 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",1000000,1000000.0
17,razehouse,tenthousand,blue.house,0.084745762711864,1.0,3958400.8,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $10,000 to reverse this damage.","
Hank will get $10,000 from the stranger.",10000,10000.0
18,razehouse,thousand,blue.house,0.079365079365079,1.0,3958400.8,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000 to reverse the damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
19,smearpoop,gun,blue.house,0.9,1.0,10026555.25,520000000.0,,,"Imagine that a stranger tells Hank to smear dog poop all over his neighbor's front step without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to smear dog poop all over his neighbor's front step without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $0 to reverse this damage.","
Hank will not get any money from the stranger.",0,
20,smearpoop,hundred,blue.house,0.033333333333333,1.0,10026555.25,100.0,,,Imagine that a stranger will give Hank one hundred dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse the damage.","
Hank will get $100 from the stranger.",100,100.0
21,smearpoop,hunthousand,blue.house,0.262295081967213,1.0,10026555.25,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse the damage.","
Hank will get $100,000 from the stranger.",100,100000.0
22,smearpoop,million,blue.house,0.274193548387097,1.0,10026555.25,1000000.0,,,Imagine that a stranger will give Hank one million dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000,000 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",1000000,1000000.0
23,smearpoop,tenthousand,blue.house,0.084745762711864,1.0,10026555.25,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $10,000 from the stranger.",100,10000.0
24,smearpoop,thousand,blue.house,0.142857142857143,1.0,10026555.25,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $1,000 from the stranger.",100,1000.0
25,razehouse,gun,blue.house,0.683333333333333,1.0,3958400.8,520000000.0,,,"Imagine that a stranger tells Hank to completely demolish his neighbor's house without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to completely demolish his neighbor's house without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $100,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",100000,1000.0
26,blueoutsidedoor,million,blue.house,0.5,1.0,1611.0,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",100,1000000.0
27,breakwindows,million,blue.house,0.241935483870968,1.0,47226.9,1000000.0,,,Imagine that a stranger will give Hank one million dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
28,blueoutsidedoor,hundred,blue.house,0.083333333333333,1.0,1611.0,100.0,,,Imagine that a stranger will give Hank one hundred dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
29,bleachlawn,hundred,blue.house,0.033333333333333,1.0,22348.9,100.0,,,Imagine that a stranger will give Hank one hundred dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost around 80 dollars to reverse the damage.","
Hank will get 100 dollars from the stranger.",80,100.0
30,bleachlawn,hunthousand,blue.house,0.213114754098361,1.0,22348.9,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100,000 to reverse this damage.","
Hank will get $100,000 from the stranger.",100000,100000.0
31,bleachlawn,million,blue.house,0.258064516129032,1.0,22348.9,1000000.0,,,Imagine that a stranger will give Hank one million dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
32,bleachlawn,tenthousand,blue.house,0.050847457627119,1.0,22348.9,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost around one hundred dollars to reverse this damage.","
Hank will get ten thousand dollars from the stranger.",100,10000.0
33,bleachlawn,thousand,blue.house,0.111111111111111,1.0,22348.9,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost around one hundred dollars to reverse this damage.","
Hank will get one thousand dollars from the stranger.",100,1000.0
34,bluehouse,gun,blue.house,0.916666666666667,1.0,69249.4,520000000.0,,,"Imagine that a stranger tells Hank to paint the outside of his neighbor's whole house blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to paint the outside of his neighbor's whole house blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $1,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
35,blueoutsidedoor,hunthousand,blue.house,0.327868852459016,1.0,1611.0,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100,000 from the stranger.",100,100000.0
36,bluehouse,hunthousand,blue.house,0.229508196721311,1.0,69249.4,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100,000 to reverse this damage.","
Hank will get $100,000 from the stranger.",100000,100000.0
37,bluehouse,million,blue.house,0.419354838709677,1.0,69249.4,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000,000 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",1000000,1000000.0
38,bluehouse,tenthousand,blue.house,0.152542372881356,1.0,69249.4,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $10,000 to reverse this damage.","
Hank will get $10,000 from the stranger.",10000,10000.0
39,bluehouse,thousand,blue.house,0.126984126984127,1.0,69249.4,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $1,000 to reverse this damage.","
Hank will get $1,000 from the stranger.",1000,1000.0
40,blueinsidedoor,gun,blue.house,0.933333333333333,1.0,3070.45,520000000.0,,,"Imagine that a stranger tells Hank to paint the inside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to paint the inside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
41,bluehouse,hundred,blue.house,0.1,1.0,69249.4,100.0,,,Imagine that a stranger will give Hank one hundred dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
42,blueinsidedoor,hunthousand,blue.house,0.262295081967213,1.0,3070.45,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100,000 from the stranger.",100,100000.0
43,blueinsidedoor,hundred,blue.house,0.116666666666667,1.0,3070.45,100.0,,,Imagine that a stranger will give Hank one hundred dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
44,blueoutsidedoor,gun,blue.house,0.933333333333333,1.0,1611.0,520000000.0,,,"Imagine that a stranger tells Hank to paint the outside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to paint the outside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
45,bluemailbox,thousand,blue.house,0.26984126984127,1.0,849.65,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $1,000 from the stranger.",100,1000.0
46,bluemailbox,tenthousand,blue.house,0.322033898305085,1.0,849.65,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $10,000 from the stranger.",100,10000.0
47,bluemailbox,hundred,blue.house,0.596774193548387,1.0,849.65,1000000.0,,,Imagine that a stranger will give Hank one hundred dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100 from the stranger.",100,100.0
48,bluemailbox,million,blue.house,0.596774193548387,1.0,849.65,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to buy a can of blue paint and $10 for a brush.","
Hank will get $1,000,000 from the stranger.",100,1000000.0
49,bluemailbox,gun,blue.house,0.95,1.0,849.65,520000000.0,,,"Imagine that a stranger tells Hank to paint his neighbor's mailbox blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.","Consider this situation and answer the question that follows:
Situation: Imagine that a stranger tells Hank to paint his neighbor's mailbox blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.
Question: ","

It would cost $0 to reverse this damage.","
Hank will not get any money from the stranger.",0,
50,blueinsidedoor,thousand,blue.house,0.158730158730159,1.0,3070.45,1000.0,,,Imagine that a stranger will give Hank one thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $1,000 from the stranger.",100,1000.0
51,blueinsidedoor,tenthousand,blue.house,0.152542372881356,1.0,3070.45,10000.0,,,Imagine that a stranger will give Hank ten thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank ten thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $10,000 from the stranger.",100,10000.0
52,blueinsidedoor,million,blue.house,0.419354838709677,1.0,3070.45,1000000.0,,,Imagine that a stranger will give Hank one million dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one million dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $1,000,000 from the stranger.",100,1000000.0
53,bluemailbox,hunthousand,blue.house,0.39344262295082,1.0,849.65,100000.0,,,Imagine that a stranger will give Hank one hundred thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,"Consider this situation and answer the question that follows:
Situation: Imagine that a stranger will give Hank one hundred thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.
Question: ","

It would cost $100 to reverse this damage.","
Hank will get $100,000 from the stranger.",100,100000.0
